
Frequency	# of Samples Observed In
b2122585368a0f4bef6403e806305f2d	155	1
3c95cb6a83d06ce9e5023832727046cb	154	1
e623f76b6b5c035660666d648ae32a33	153	1
dca878f5789ff46e202f390040e965b1	153	1
02f10bb1481652fb28988ef8594b61bc	151	2
be6d3f096538d3353e834671b448d8a4	150	1
5ad5a08fbf4efcb2d0baa13f2977e03e	150	1
ab06b92a4a159a2e142d00600b8eb617	149	2
d550c2a22b044d3c6c3321ed60ce6b34	148	1
c8b9bc3833fd814917874523353833b5	148	1
e9cbbd1efe9737d1aa7fe3b536471865	148	1
26bdfefe005fd0b6b6a62a15c6209603	147	1
5ee4f39dbed5a33ec03b49368537feff	146	1
4cef1a4ec0e9a71acff5daacf215d2ae	146	1
25c6ff18b6c53915d7a515d678be45c1	145	1
4b6c1221a3ef08e626a5f554f5415498	145	2
23db26e22fe4f397cf6993998ea5745c	145	1
2331ed8ddc7bf138e0388c8cb93c39ec	144	1
5daefe3e2688aac20342e0e140c032b1	143	1
7bc509a1a95400b0c78c4ecf50aef31b	143	1
2474a7f285758343677138e89a81afd9	142	1
525717921857f79affeeaefe226b7259	142	1
fce43471772f1b6409abf710a01e02a5	142	1
1dad8fb3e85be70659a4b0df218d0c74	142	1
cad05b116a114fec742ad7137d3c7372	140	1
1415fe0df1bd147741985fb153fa5d63	140	1
975d375282cac10bac9b72f2f8fb927e	139	1
c2356bd68200a449effb0df38ff8f0c2	139	1
f6252694db20a13123c103141f0b5b72	137	1
070f4c883a1e2c4b14db807f3aef5c06	135	1
60e46e134490eae48bb0ef235b9d961c	134	1
c75a3eb97f306c54914b713985f734cd	134	1
5f68e0f2f13a6e74d43124dd8c59d15b	134	2
938c4a1b6f883abc5c23dee9e2cd928d	133	1
6e01e92620e19d52d813fce4d5187885	133	1
9c130684105a7a2b4be21cf705c56b8a	133	1
4ed9365d55fb9b233aa32513437a492d	132	2
a769966acb42a6f859bdf54dd498a25e	131	1
b3b23257eac6e8e51fb13e344a656435	129	2
366105b4c901098e139aee58f910f68e	128	1
51b1a499663cb6e0c6a01b708e87ced6	128	1
d6558dbf90d3fca97ee78f84f5540d64	128	1
50d695c583fc386ba7c8cc94b8d400c0	127	1
04cee79a6d2a72e970d700f7da84db15	127	1
2b84087ee00bf0e48ad21ab28d4c36f0	127	1
53c320feac6cc7fdb0b8dabeb0266cf8	127	1
e6153d3337887d25a6bd2f2bed480758	127	1
b11cc3d657e65bccfb5586bffd97820b	126	1
914586b4bed92ab57ddbbbbb0e1e537e	126	1
5557b5dc029b2b6e54937c2ed075a1cf	125	1
332b2d0fae40d1832930019e15dd7136	125	1
c79a599513f8434882dafd021db25ed4	124	1
5797c6b0ffc2667c4c606d92eebe644c	122	1
37df3d8f200fb0847a33e5e81e8cb5fd	122	1
b95ec330280e9a94bb5822910d070053	121	1
a852e692d9854cab2e150e7e244f27ef	121	1
0de7c7e1c0ba0eed05d22218ae5b8724	120	1
116a2213924d0ae7c9680ba66d487da8	120	1
0c7591592fa1c787030db9bce0f78e02	119	1
c7d4698e165e048d5855d1b893e26f87	119	1
