sample.id,Mollusca.Cephalopoda.Octopoda.Argonautidae.Argonauta.Argonauta_nodosa,Mollusca.Cephalopoda.Octopoda.Octopodidae.Enteroctopus.Enteroctopus_megalocyathus,Mollusca.Cephalopoda.Octopoda.Octopodidae.Octopus.__,Mollusca.Cephalopoda.Teuthida.Octopoteuthidae.__.__,Mollusca.Cephalopoda.Teuthida.Ommastrephidae.Nototodarus.__,Mollusca.Cephalopoda.Teuthida.Onychoteuthidae.Moroteuthopsis.Moroteuthopsis.aff..ingens.HEB.2018,Mollusca.Cephalopoda.Teuthida.__.__.__,Date,Samplequality,Breedingregion,Breedinglocation,Nestnumber,IndividualID,Ageclass,Statusof_bird1617,Time,Sex
S189,0,0,0,0,0,0,0,16/08/17,Latrine,Catlins,Long_Point,NA,NA,Adult,Unknown,Pre-egg,U
S19,0,0,0,0,0,0,0,8/02/17,Fresh,Catlins,Long_Point,MY12,NA,Chick,Breeding,Post-guard,U
S190,0,0,0,0,0,0,0,8/07/17,Latrine,Catlins,Penguin_Bay,NA,NA,Adult,Unknown,Post-moult,U
S193,0,0,0,0,0,0,0,18/12/16,Latrine,Otago_Peninsula,Otapahi,OT4,NA,Chick,Breeding,Post-guard,U
S194,0,0,0,0,0,0,0,8/12/16,Latrine,Catlins,Long_Point,MY13,NA,Chick,Breeding,Post-guard,U
S195,0,0,0,0,34,0,0,19/12/16,Latrine,Catlins,Penguin_Bay,BB7,NA,Chick,Breeding,Post-guard,U
S197,0,0,0,0,0,0,0,1/11/16,Latrine,Otago_Peninsula,Aramoana,MY1,NA,Chick,Breeding,Guard,U
S198,0,0,0,0,14,0,0,11/12/16,Latrine,Otago_Peninsula,Otapahi,OT3,NA,Chick,Breeding,Guard,U
S199,0,0,0,0,53,0,0,19/12/16,Latrine,Catlins,Hina_Hina_Cove,BB5,NA,Chick,Breeding,Post-guard,U
S2,0,0,0,0,0,0,0,19/04/17,Latrine,North_Otago,Katiki_Point,NA,NA,Adult,Unknown,Post-moult,U
S20,0,0,0,0,41,0,0,19/04/17,Latrine,North_Otago,Katiki_Point,NA,NA,Adult,Unknown,Post-moult,U
S200,0,0,0,0,0,0,0,16/08/17,Latrine,Catlins,Long_Point,NA,NA,Adult,Unknown,Pre-egg,U
S201,0,0,0,0,37,36,0,8/12/16,Latrine,Catlins,Long_Point,MY16,NA,Chick,Breeding,Post-guard,U
S202,0,0,0,0,71,0,0,19/12/16,Latrine,Catlins,Penguin_Bay,MEL1,NA,Chick,Breeding,Post-guard,U
S203,0,0,0,0,0,0,0,21/11/16,Latrine,North_Otago,Bobby's_Head,TAV1,NA,Chick,Breeding,Guard,U
S205,0,0,0,0,0,0,0,26/01/17,Latrine,Otago_Peninsula,Otapahi,OT5,NA,Chick,Breeding,Post-guard,U
S206,0,0,0,47,0,92,0,17/11/16,Latrine,Otago_Peninsula,Otapahi,OT4,NA,Chick,Breeding,Guard,U
S209,0,0,1819,0,13,0,0,16/08/17,Latrine,Catlins,Long_Point,NA,NA,Adult,Unknown,Pre-egg,U
S217,0,0,0,0,0,0,0,16/08/17,Latrine,Catlins,Nugget_Point,NA,NA,Adult,Unknown,Pre-egg,U
S219,0,0,0,0,0,0,0,16/08/17,Latrine,Catlins,Nugget_Point,NA,NA,Adult,Unknown,Pre-egg,U
S220,0,0,28,0,0,0,0,16/08/17,Latrine,Catlins,Nugget_Point,NA,NA,Adult,Unknown,Pre-egg,U
S24,0,0,0,0,0,0,0,26/01/17,Fresh,Otago_Peninsula,Otapahi,OT3,NA,Chick,Breeding,Post-guard,U
S25,0,0,0,0,15,0,0,19/04/17,Latrine,North_Otago,Katiki_Point,NA,NA,Adult,Unknown,Post-moult,U
S28,0,0,0,0,0,0,0,16/03/17,Fresh,Catlins,Long_Point,NA,982000063621154,Adult,Non-breeding,Post-moult,M
S3,0,0,0,0,0,0,0,20/04/17,Fresh,North_Otago,Bobby's_Head,NA,982000405533753,Adult,Non-breeding,Post-moult,M
S30,0,0,0,0,0,0,0,16/02/17,Fresh,Otago_Peninsula,Otapahi,OT3,NA,Chick,Breeding,Post-guard,U
S32,0,0,0,0,0,0,0,8/05/17,Fresh,Otago_Peninsula,Victory_Beach,NA,982000405534107,Adult,Non-breeding,Post-moult,M
